type,status,emoji
parking,Transit,🅿️
corporate_office,Working,💼
farm,Farming,🚜
ranch,Farming,🚜
art_studio,Working,💼
auditorium,Taking class/Watching concerts,🎶
performing_arts_theater,Entertainment,🎭
library,Reading/Studying,📚
preschool,Preschool,👶
primary_school,School,🏫
school,School,🏫
secondary_school,School,🏫
university,University,🎓
amusement_center,Entertainment,🎭
amusement_park,Entertainment,🎭
aquarium,Aquarium,🐠
casino,Entertainment,🎭
childrens_camp,Camping,🏕️
community_center,Community Center,🤝
concert_hall,Entertainment,🎭
convention_center,Business,💼
dance_hall,Dancing,💃
dog_park,Relaxing,😌
hiking_area,Hiking,🥾
internet_cafe,Internet Café,💻
karaoke,Karaoke,🎤
marina,Marina,⚓
movie_theater,Entertainment,🎭
national_park,Relaxing at Park,😌
night_club,Socializing,🥂
opera_house,Entertainment,🎭
park,Relaxing/Playing at Park,😌
plaza,$name,🏢
skateboard_park,Skateboarding,🛹
state_park,Skating,⛸️
zoo,Leisure,🚶‍♀️
public_bath,Bath,🛁
public_bathroom,Bath,🛁
afghani_restaurant,Eating at favorite restaurant,🍽️
african_restaurant,Eating at favorite restaurant,🍽️
american_restaurant,Eating at favorite restaurant,🍽️
asian_restaurant,Eating at favorite restaurant,🍽️
bar,Drinking/Socializing at bar,🥂
bar_and_grill,Drinking/Socializing at bar,🥂
barbecue_restaurant,Eating at favorite restaurant,🍽️
brazilian_restaurant,Eating at favorite restaurant,🍽️
breakfast_restaurant,Eating at favorite restaurant,🍽️
brunch_restaurant,Eating at favorite restaurant,🍽️
buffet_restaurant,Eating at favorite restaurant,🍽️
cafe,Eating/Working at café,☕
cafeteria,Eating/Working at cafeteria,☕
cat_cafe,Cat café,🐱
chinese_restaurant,Eating at favorite restaurant,🍽️
coffee_shop,Eating/Working at café,☕
dessert_restaurant,Eating at favorite restaurant,🍽️
diner,Eating at favorite restaurant,🍽️
fast_food_restaurant,Grabbing food,🍔
fine_dining_restaurant,Eating at favorite restaurant,🍽️
food_court,Grabbing food,🍔
french_restaurant,Eating at favorite restaurant,🍽️
greek_restaurant,Eating at favorite restaurant,🍽️
hamburger_restaurant,Eating at favorite restaurant,🍽️
indian_restaurant,Eating at favorite restaurant,🍽️
indonesian_restaurant,Eating at favorite restaurant,🍽️
italian_restaurant,Eating at favorite restaurant,🍽️
japanese_restaurant,Eating at favorite restaurant,🍽️
korean_restaurant,Eating at favorite restaurant,🍽️
lebanese_restaurant,Eating at favorite restaurant,🍽️
mediterranean_restaurant,Eating at favorite restaurant,🍽️
mexican_restaurant,Eating at favorite restaurant,🍽️
middle_eastern_restaurant,Eating at favorite restaurant,🍽️
pizza_restaurant,Eating at favorite restaurant,🍽️
pub,Eating at favorite restaurant,🍽️
ramen_restaurant,Eating at favorite restaurant,🍽️
restaurant,Eating at favorite restaurant,🍽️
seafood_restaurant,Eating at favorite restaurant,🍽️
spanish_restaurant,Eating at favorite restaurant,🍽️
steak_house,Eating at favorite restaurant,🍽️
sushi_restaurant,Eating at favorite restaurant,🍽️
tea_house,Eating/Working at tea house,☕
thai_restaurant,Eating at favorite restaurant,🍽️
turkish_restaurant,Eating at favorite restaurant,🍽️
vegan_restaurant,Eating at favorite restaurant,🍽️
